PLAYER_NAME,BBR_PLAYER_ID,TEAM_ABBREVIATION,DWS,DBPM,DRB_PCT,STL_PCT,BLK_PCT
Ja'Kobe Walter,walteja01,TOR,1.9,1.0,10.0,2.4,0.9
Nikola Vučević,vucevni01,2TM,1.9,0.1,23.9,1.0,2.0
Zaccharie Risacher,risacza01,ATL,1.9,-0.2,13.6,1.9,2.2
Andre Drummond,drumman01,PHI,1.9,-0.2,29.8,1.5,3.7
Caris LeVert,leverca01,DET,1.8,1.5,9.0,2.1,3.5
Jakob Poeltl,poeltja01,TOR,1.8,1.4,20.8,1.7,2.7
Baylor Scheierman,scheiba01,BOS,1.8,1.3,16.0,1.5,0.4
Mouhamed Gueye,gueyemo02,ATL,1.8,1.3,17.4,2.4,3.0
Dominick Barlow,barlodo01,PHI,1.8,0.4,13.5,1.8,2.9
Brook Lopez,lopezbr01,LAC,1.8,0.4,15.7,1.4,5.0
Naji Marshall,marshna01,DAL,1.8,0.1,13.6,1.8,0.2
Bruce Brown,brownbr01,DEN,1.8,0.1,12.5,2.1,0.9
Myles Turner,turnemy01,MIL,1.8,0.0,17.8,1.3,6.0
Ryan Rollins,rolliry01,MIL,1.8,-0.5,13.4,2.3,1.3
John Collins,collijo01,LAC,1.8,-0.5,15.6,1.6,2.6
Devin Booker,bookede01,PHO,1.8,-1.0,10.7,1.2,0.8
Hugo González,gonzahu01,BOS,1.7,1.6,18.3,2.0,2.0
Daniel Gafford,gaffoda01,DAL,1.7,1.2,21.1,1.7,4.9
Jalen Williams,willija06,OKC,1.7,1.0,13.9,2.0,0.9
Clint Capela,capelca01,HOU,1.7,0.9,21.8,1.9,6.3
Kevin Huerter,huertke01,2TM,1.7,0.5,14.2,1.9,1.9
Davion Mitchell,mitchda01,MIA,1.7,0.4,8.0,1.6,0.5
Josh Giddey,giddejo01,CHI,1.7,0.4,23.1,1.5,1.4
Norman Powell,powelno01,MIA,1.7,-0.3,11.0,1.7,0.7
Jaylon Tyson,tysonja01,CLE,1.7,-0.5,13.6,1.5,1.5
Quentin Grimes,grimequ01,PHI,1.7,-0.6,11.4,1.4,1.2
Jamal Murray,murraja01,DEN,1.7,-1.4,12.0,1.2,1.0
Goga Bitadze,bitadgo01,ORL,1.6,2.0,21.2,1.8,5.7
Josh Okogie,okogijo01,HOU,1.6,1.1,9.6,2.3,1.1
Marcus Smart,smartma01,LAL,1.6,0.6,8.7,2.4,1.2
Grayson Allen,allengr01,PHO,1.6,0.2,9.2,2.3,0.8
